id;message;created_date;like_count
1;../fake-data/blob/hipster.txt;2024-12-09T02:19:05;19961
2;../fake-data/blob/hipster.txt;2024-12-08T23:31:00;17474
3;../fake-data/blob/hipster.txt;2024-12-08T15:12:29;18109
4;../fake-data/blob/hipster.txt;2024-12-08T23:35:43;12265
5;../fake-data/blob/hipster.txt;2024-12-09T09:39:50;21074
6;../fake-data/blob/hipster.txt;2024-12-08T17:26:33;29290
7;../fake-data/blob/hipster.txt;2024-12-09T00:55:16;9792
8;../fake-data/blob/hipster.txt;2024-12-09T08:37:01;28370
9;../fake-data/blob/hipster.txt;2024-12-09T00:43:36;292
10;../fake-data/blob/hipster.txt;2024-12-09T02:44:59;27420
